Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
"Mon, Nov 25, 2013",10:00p,New York Knicks,91,Portland Trail Blazers,102,Box Score,,"19,939",
"Mon, Nov 25, 2013",8:30p,New Orleans Pelicans,93,San Antonio Spurs,112,Box Score,,"18,323",
"Mon, Nov 25, 2013",9:00p,Chicago Bulls,83,Utah Jazz,89,Box Score,OT,"18,936",
"Tue, Nov 26, 2013",7:30p,Orlando Magic,109,Atlanta Hawks,92,Box Score,,"13,164",
"Tue, Nov 26, 2013",8:00p,Golden State Warriors,102,New Orleans Pelicans,101,Box Score,,"15,330",
"Tue, Nov 26, 2013",7:00p,Brooklyn Nets,102,Toronto Raptors,100,Box Score,,"16,421",
"Tue, Nov 26, 2013",7:00p,Los Angeles Lakers,111,Washington Wizards,116,Box Score,,"19,204",
"Wed, Nov 27, 2013",7:30p,Memphis Grizzlies,100,Boston Celtics,93,Box Score,,"17,319",
"Wed, Nov 27, 2013",7:30p,Los Angeles Lakers,99,Brooklyn Nets,94,Box Score,,"17,732",
"Wed, Nov 27, 2013",7:00p,Indiana Pacers,99,Charlotte Bobcats,74,Box Score,,"15,170",
"Wed, Nov 27, 2013",7:30p,Miami Heat,95,Cleveland Cavaliers,84,Box Score,,"20,562",
"Wed, Nov 27, 2013",8:30p,Golden State Warriors,99,Dallas Mavericks,103,Box Score,,"20,211",
"Wed, Nov 27, 2013",7:30p,Chicago Bulls,99,Detroit Pistons,79,Box Score,,"14,228",
"Wed, Nov 27, 2013",8:00p,Atlanta Hawks,84,Houston Rockets,113,Box Score,,"18,051",
"Wed, Nov 27, 2013",10:30p,New York Knicks,80,Los Angeles Clippers,93,Box Score,,"19,270",
"Wed, Nov 27, 2013",8:00p,Washington Wizards,100,Milwaukee Bucks,92,Box Score,OT,"11,584",
"Wed, Nov 27, 2013",8:00p,Denver Nuggets,117,Minnesota Timberwolves,110,Box Score,,"14,244",
"Wed, Nov 27, 2013",8:00p,San Antonio Spurs,88,Oklahoma City Thunder,94,Box Score,,"18,203",
"Wed, Nov 27, 2013",7:00p,Philadelphia 76ers,94,Orlando Magic,105,Box Score,,"15,839",
"Wed, Nov 27, 2013",9:00p,Portland Trail Blazers,106,Phoenix Suns,120,Box Score,,"12,731",
"Fri, Nov 29, 2013",7:30p,Dallas Mavericks,87,Atlanta Hawks,88,Box Score,,"15,463",
"Fri, Nov 29, 2013",7:30p,Cleveland Cavaliers,86,Boston Celtics,103,Box Score,,"17,685",
"Fri, Nov 29, 2013",7:00p,Milwaukee Bucks,76,Charlotte Bobcats,92,Box Score,,"15,081",
"Fri, Nov 29, 2013",9:00p,New York Knicks,95,Denver Nuggets,97,Box Score,,"19,155",
"Fri, Nov 29, 2013",7:30p,Los Angeles Lakers,106,Detroit Pistons,102,Box Score,,"15,202",
"Fri, Nov 29, 2013",8:00p,Brooklyn Nets,95,Houston Rockets,114,Box Score,,"18,138",
"Fri, Nov 29, 2013",8:00p,Washington Wizards,73,Indiana Pacers,93,Box Score,,"18,165",
"Fri, Nov 29, 2013",8:00p,Golden State Warriors,112,Oklahoma City Thunder,113,Box Score,OT,"18,203",
"Fri, Nov 29, 2013",7:00p,San Antonio Spurs,109,Orlando Magic,91,Box Score,,"15,159",
"Fri, Nov 29, 2013",8:00p,New Orleans Pelicans,121,Philadelphia 76ers,105,Box Score,,"17,807",
"Fri, Nov 29, 2013",10:00p,Los Angeles Clippers,104,Sacramento Kings,98,Box Score,OT,"17,317",
"Fri, Nov 29, 2013",7:00p,Miami Heat,90,Toronto Raptors,83,Box Score,,"18,290",
"Fri, Nov 29, 2013",9:00p,Phoenix Suns,112,Utah Jazz,101,Box Score,,"18,435",
"Sat, Nov 30, 2013",7:30p,Chicago Bulls,93,Cleveland Cavaliers,97,Box Score,,"17,296",
"Sat, Nov 30, 2013",8:30p,Minnesota Timberwolves,112,Dallas Mavericks,106,Box Score,,"20,173",
"Sat, Nov 30, 2013",8:00p,Brooklyn Nets,97,Memphis Grizzlies,88,Box Score,,"17,012",
"Sat, Nov 30, 2013",9:00p,Boston Celtics,85,Milwaukee Bucks,92,Box Score,,"15,471",
"Sat, Nov 30, 2013",9:00p,Utah Jazz,112,Phoenix Suns,104,Box Score,,"12,957",
"Sat, Nov 30, 2013",8:30p,Houston Rockets,112,San Antonio Spurs,106,Box Score,,"18,581",
"Sat, Nov 30, 2013",7:00p,Atlanta Hawks,101,Washington Wizards,108,Box Score,,"14,280",
